SOC_C_3300;P_AC_C_3300;C_C_3300;V_C_3300;Ta_C_3300;SOC_C_2700;P_AC_C_2700;C_C_2700;V_C_2700;_C_2700;SOC_C_1650;P_AC_C_1650;C_C_1650;V_C_1650;Ta_C_1650;SOC_C_1000;P_AC_C_1000;C_C_1000;V_C_1000;Ta_C_1000;SOC_C_660;P_AC_C_660;C_C_660;V_C_660;Ta_C_660;SOC_C_330;P_AC_C_330;C_C_330;V_C_330;Ta_C_330;SOC_D_3300;P_AC_D_3300;C_D_3300;V_D_3300;Ta_D_3300;SOC_D_2700;P_AC_D_2700;C_D_2700;V_D_2700;_D_2700;SOC_D_1650;P_AC_D_1650;C_D_1650;V_D_1650;Ta_D_1650;SOC_D_1000;P_AC_D_1000;C_D_1000;V_D_1000;Ta_D_1000;SOC_D_660;P_AC_D_660;C_D_660;V_D_660;Ta_D_660;SOC_D_330;P_AC_D_330;C_D_330;V_D_330;Ta_D_330;Legend :
20;-3272;-57.41;50.55;15.45;20;-2768;-51.80307032;50.76147;22.245;20;1648;-29.2053063;50.230598;25.763;21;-1095;-23.73851528;50.545316;25.272;20;-637;-11.71;50.21;27.611;20;-312;-5.589309;50.384663;12.748;91;3369;64.17;55.43;15.20;91;2769;52.02;56.95;21.41;91;1694;30.92;56.42;24.25;91;1131;18.85;56.68;19.46;91;679;12.98;56.16;22.15;91;377;6.70;57.02;18.326;"Legend example: ""Ta_D_330"" means ""Ambient temperature, in discharge, at 330 level of power"""
20;-3276;-57.56;50.59;15.44;20;-2700;-50.49206138;50.800065;22.238;20;1645;-29.36943583;50.256328;25.772;21;-1094;-21.78491107;50.548187;25.268;20;-639;-11.65;50.22;27.596;20;-313;-5.559221;50.388065;12.72;91;3371;64.13;55.42;15.20;90;2766;51.94;56.92;21.40;91;1689;30.84;56.40;24.27;91;1137;18.97;56.66;19.45;91;679;12.33;56.16;22.19;91;363;6.72;57.01;18.329;"""_C_"" is charge"
20;-3273;-57.27;50.63;15.43;20;-2700;-50.44803262;50.844401;22.25;20;1647;-29.35751087;50.276742;25.781;21;-1095;-20.18783724;50.550738;25.265;20;-641;-11.77;50.23;27.588;20;-314;-5.542616;50.391148;12.72;90;3366;64.14;55.41;15.22;90;2763;51.99;56.89;21.40;91;1691;30.89;56.38;24.27;91;1137;18.97;56.65;19.45;90;680;12.33;56.15;22.23;90;365;6.67;57.01;18.338;"""_D_"" is discharge"
21;-3273;-57.56;50.66;15.40;20;-2702;-50.45469867;50.875341;22.267;20;1646;-29.34770491;50.293541;25.759;21;-1097;-18.4124099;50.553928;25.261;20;-640;-11.75;50.23;27.594;21;-315;-5.545171;50.394551;12.749;90;3370;64.11;55.40;15.19;90;2766;52.09;56.87;21.39;90;1691;30.90;56.37;24.27;91;1137;18.98;56.63;19.45;90;680;12.35;56.15;22.25;90;365;6.59;57.01;18.342;"""SOC"" is State of Charge"
21;-3273;-57.27;50.69;15.41;20;-2702;-50.43288108;50.89735;22.254;21;1644;-29.33784368;50.310446;25.759;21;-1100;-18.23358631;50.555417;25.247;21;-641;-11.74;50.24;27.57;21;-313;-5.527429;50.396996;12.756;90;3370;64.10;55.40;15.20;90;2763;52.07;56.85;21.39;90;1692;30.93;56.35;24.26;90;1137;18.98;56.62;19.48;90;680;12.35;56.14;22.23;90;363;6.69;57.00;18.346;"""P_AC"" is Apparent measured Power"
21;-3274;-57.41;50.71;15.45;21;-2697;-50.31821857;50.918933;22.264;21;1644;-29.33028118;50.323418;25.754;21;-1101;-18.41089881;50.557968;25.256;21;-639;-11.68;50.24;27.599;21;-313;-5.576536;50.399654;12.756;90;3370;64.16;55.39;15.23;90;2764;52.13;56.83;21.39;90;1690;30.90;56.34;24.26;90;1140;19.04;56.61;19.46;90;679;12.35;56.14;22.38;90;361;6.58;57.00;18.348;"""C"" is measured DC current in A"
21;-3275;-57.27;50.74;15.47;21;-2696;-50.28087262;50.937859;22.281;21;1648;-29.3228455;50.336179;25.787;21;-1097;-18.40963296;50.559882;25.266;21;-638;-11.68;50.25;27.572;21;-312;-5.522037;50.400292;12.716;90;3370;64.21;55.38;15.24;90;2766;52.27;56.81;21.42;90;1690;30.90;56.32;24.26;90;1136;18.97;56.60;19.47;90;680;12.34;56.13;22.34;90;360;6.58;57.00;18.344;"""V"" is measured DC voltage in V"
21;-3275;-57.27;50.76;15.48;21;-2699;-50.3184434;50.956465;22.298;21;1644;-29.31541476;50.348938;25.808;21;-1096;-18.23026854;50.561902;25.243;21;-638;-11.63;50.25;27.571;21;-310;-5.503441;50.40295;12.727;90;3375;64.26;55.37;15.22;90;2761;52.19;56.80;21.42;90;1690;30.91;56.31;24.28;90;1135;18.96;56.60;19.47;90;678;12.36;56.13;22.31;90;360;6.61;57.00;18.35;"""Ta"" is measured ambient temperature in ºC"
21;-3273;-57.27;50.78;15.48;21;-2697;-50.26469029;50.973158;22.301;21;1646;-29.30885432;50.360208;25.807;21;-1094;-18.40722424;50.563922;25.235;21;-636;-11.68;50.25;27.596;21;-311;-5.548719;50.404651;12.746;90;3371;64.21;55.36;15.22;90;2765;52.10;56.78;21.42;90;1687;30.86;56.30;24.29;90;1139;19.03;56.59;19.47;90;680;12.32;56.12;22.27;90;361;6.67;56.99;18.361;
21;-3275;-56.99;50.79;15.49;21;-2702;-50.34286059;50.988362;22.316;21;1648;-29.30415206;50.368289;25.791;21;-1095;-18.40624487;50.566899;25.246;21;-637;-11.68;50.26;27.527;21;-310;-5.525301;50.406246;12.811;90;3376;64.28;55.35;15.18;90;2764;52.09;56.77;21.43;90;1691;30.94;56.30;24.28;90;1139;19.03;56.58;19.47;90;679;12.36;56.12;22.21;90;362;6.65;56.99;18.368;
